Program Branch,County,Station,Latitude,Longitude,View summary report,Download data from NS Open Data Portal,Download data from CIOOS
Water Quality,Annapolis,1042,44.6529,-65.6745,https://cmar.ca/wp-content/uploads/sites/22/2023/04/Annapolis_Water_Quality_Report.pdf,https://data.novascotia.ca/Nature-and-Environment/Annapolis-County-Water-Quality-Data/knwz-4bap/about_data,https://catalogue.cioosatlantic.ca/dataset/ca-cioos_df9dc1b2-b786-322f-9e92-900c446752ef
Water Quality,Annapolis,5005,44.6342,-65.7119,https://cmar.ca/wp-content/uploads/sites/22/2023/04/Annapolis_Water_Quality_Report.pdf,https://data.novascotia.ca/Nature-and-Environment/Annapolis-County-Water-Quality-Data/knwz-4bap/about_data,https://catalogue.cioosatlantic.ca/dataset/ca-cioos_df9dc1b2-b786-322f-9e92-900c446752ef
Water Quality,Annapolis,5006,44.6696,-65.6477,https://cmar.ca/wp-content/uploads/sites/22/2023/04/Annapolis_Water_Quality_Report.pdf,https://data.novascotia.ca/Nature-and-Environment/Annapolis-County-Water-Quality-Data/knwz-4bap/about_data,https://catalogue.cioosatlantic.ca/dataset/ca-cioos_df9dc1b2-b786-322f-9e92-900c446752ef
Water Quality,Annapolis,Cornwallis,44.6694,-65.6448,https://cmar.ca/wp-content/uploads/sites/22/2023/04/Annapolis_Water_Quality_Report.pdf,https://data.novascotia.ca/Nature-and-Environment/Annapolis-County-Water-Quality-Data/knwz-4bap/about_data,https://catalogue.cioosatlantic.ca/dataset/ca-cioos_df9dc1b2-b786-322f-9e92-900c446752ef
Water Quality,Annapolis,Lobster Ledge,44.6782,-65.6833,https://cmar.ca/wp-content/uploads/sites/22/2023/04/Annapolis_Water_Quality_Report.pdf,https://data.novascotia.ca/Nature-and-Environment/Annapolis-County-Water-Quality-Data/knwz-4bap/about_data,https://catalogue.cioosatlantic.ca/dataset/ca-cioos_df9dc1b2-b786-322f-9e92-900c446752ef
Water Quality,Antigonish,1442,45.6716,-61.8926,https://cmar.ca/wp-content/uploads/sites/22/2024/04/Antigonish_Water_Quality_Report.pdf,https://data.novascotia.ca/Nature-and-Environment/Antigonish-County-Water-Quality-Data/kgdu-nqdp/about_data,https://catalogue.cioosatlantic.ca/dataset/ca-cioos_c1816b73-8572-3d0a-abe3-8058dc0a371b
Water Quality,Antigonish,1443,45.679,-61.8956,https://cmar.ca/wp-content/uploads/sites/22/2024/04/Antigonish_Water_Quality_Report.pdf,https://data.novascotia.ca/Nature-and-Environment/Antigonish-County-Water-Quality-Data/kgdu-nqdp/about_data,https://catalogue.cioosatlantic.ca/dataset/ca-cioos_c1816b73-8572-3d0a-abe3-8058dc0a371b
Water Quality,Antigonish,Southside,45.6598,-61.9042,https://cmar.ca/wp-content/uploads/sites/22/2024/04/Antigonish_Water_Quality_Report.pdf,https://data.novascotia.ca/Nature-and-Environment/Antigonish-County-Water-Quality-Data/kgdu-nqdp/about_data,https://catalogue.cioosatlantic.ca/dataset/ca-cioos_c1816b73-8572-3d0a-abe3-8058dc0a371b
Water Quality,Antigonish,Antigonish 1,45.6777,-61.9125,https://cmar.ca/wp-content/uploads/sites/22/2024/04/Antigonish_Water_Quality_Report.pdf,https://data.novascotia.ca/Nature-and-Environment/Antigonish-County-Water-Quality-Data/kgdu-nqdp/about_data,https://catalogue.cioosatlantic.ca/dataset/ca-cioos_c1816b73-8572-3d0a-abe3-8058dc0a371b
Water Quality,Antigonish,Antigonish 2,45.6776,-61.9126,https://cmar.ca/wp-content/uploads/sites/22/2024/04/Antigonish_Water_Quality_Report.pdf,https://data.novascotia.ca/Nature-and-Environment/Antigonish-County-Water-Quality-Data/kgdu-nqdp/about_data,https://catalogue.cioosatlantic.ca/dataset/ca-cioos_c1816b73-8572-3d0a-abe3-8058dc0a371b
Water Quality,Antigonish,Antigonish 3,45.6776,-61.9128,https://cmar.ca/wp-content/uploads/sites/22/2024/04/Antigonish_Water_Quality_Report.pdf,https://data.novascotia.ca/Nature-and-Environment/Antigonish-County-Water-Quality-Data/kgdu-nqdp/about_data,https://catalogue.cioosatlantic.ca/dataset/ca-cioos_c1816b73-8572-3d0a-abe3-8058dc0a371b
Water Quality,Antigonish,Captains Pond,45.675,-61.908,https://cmar.ca/wp-content/uploads/sites/22/2024/04/Antigonish_Water_Quality_Report.pdf,https://data.novascotia.ca/Nature-and-Environment/Antigonish-County-Water-Quality-Data/kgdu-nqdp/about_data,https://catalogue.cioosatlantic.ca/dataset/ca-cioos_c1816b73-8572-3d0a-abe3-8058dc0a371b
Water Quality,Antigonish,Ile du Havre,45.6902,-61.5174,https://cmar.ca/wp-content/uploads/sites/22/2024/04/Antigonish_Water_Quality_Report.pdf,https://data.novascotia.ca/Nature-and-Environment/Antigonish-County-Water-Quality-Data/kgdu-nqdp/about_data,https://catalogue.cioosatlantic.ca/dataset/ca-cioos_c1816b73-8572-3d0a-abe3-8058dc0a371b
Water Quality,Antigonish,Monks Head,45.6549,-61.8288,https://cmar.ca/wp-content/uploads/sites/22/2024/04/Antigonish_Water_Quality_Report.pdf,https://data.novascotia.ca/Nature-and-Environment/Antigonish-County-Water-Quality-Data/kgdu-nqdp/about_data,https://catalogue.cioosatlantic.ca/dataset/ca-cioos_c1816b73-8572-3d0a-abe3-8058dc0a371b
Water Quality,Antigonish,St. Georges Bay N,45.708,-61.8565,https://cmar.ca/wp-content/uploads/sites/22/2024/04/Antigonish_Water_Quality_Report.pdf,https://data.novascotia.ca/Nature-and-Environment/Antigonish-County-Water-Quality-Data/kgdu-nqdp/about_data,https://catalogue.cioosatlantic.ca/dataset/ca-cioos_c1816b73-8572-3d0a-abe3-8058dc0a371b
Water Quality,Antigonish,St. Georges Bay S,45.6947,-61.8501,https://cmar.ca/wp-content/uploads/sites/22/2024/04/Antigonish_Water_Quality_Report.pdf,https://data.novascotia.ca/Nature-and-Environment/Antigonish-County-Water-Quality-Data/kgdu-nqdp/about_data,https://catalogue.cioosatlantic.ca/dataset/ca-cioos_c1816b73-8572-3d0a-abe3-8058dc0a371b
Water Quality,Antigonish,St. Georges Bay W,45.6987,-61.864,https://cmar.ca/wp-content/uploads/sites/22/2024/04/Antigonish_Water_Quality_Report.pdf,https://data.novascotia.ca/Nature-and-Environment/Antigonish-County-Water-Quality-Data/kgdu-nqdp/about_data,https://catalogue.cioosatlantic.ca/dataset/ca-cioos_c1816b73-8572-3d0a-abe3-8058dc0a371b
Water Quality,Antigonish,Tracadie 1,45.6439,-61.6476,https://cmar.ca/wp-content/uploads/sites/22/2024/04/Antigonish_Water_Quality_Report.pdf,https://data.novascotia.ca/Nature-and-Environment/Antigonish-County-Water-Quality-Data/kgdu-nqdp/about_data,https://catalogue.cioosatlantic.ca/dataset/ca-cioos_c1816b73-8572-3d0a-abe3-8058dc0a371b
